R01,R02,R03,RB,R10_12,R13_15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31_32,R33,RD,R36,R37_39,RF,R45,R46,R47,R49,R50,R51,R52,R53,RI,R58,R59_60,R61,R62_63,R64,R65,R66,R68B,R68A,R69_70,R71,R72,R73,R74_75,R77,R78,R79,R80_82,R84,RP,R86,R87_88,R90_92,R93,R94,R95,R96,RT
1558.558,29.158,38.109,50.835,39816.718,253.554,46.807,0.457,125.068,0,0,247.454,3.054,5.671,1.52,7.833,5.062,4.116,6.094,1.437,3.796,7.58,5.526,36.364,3.098,4.55,1431.066,20.728,166.345,94.294,15.548,3.117,4.395,40.869,3.928,984.635,46.59,23.407,16.137,50.389,25.219,1.993,9.797,14.433,0,49.9,43.958,6.633,18.661,10.252,16.338,11.99,3.346,202.148,576.2,77.31,86.747,312.834,28.046,9.384,16.867,1.021,8.053,0
216.971,1706.067,2.741,5.144,3.111,0.296,2013.961,354.199,0.39,0,0,147.212,0.338,4.686,0.372,1.663,0.812,0.39,1.032,0.186,0.618,1.306,1.116,6.502,1.125,0.676,132.889,6.124,50.169,131.86,5.583,1.337,1.708,9.119,1.302,18.236,4.695,7.13,5.447,7.131,2.395,0.854,3.231,7.255,0,11.909,19.187,2.317,6.969,4.119,5.878,3.417,1.116,17.39,7.969,9.407,12.384,9.642,9.11,2.749,7.233,0.38,3.35,0
47.926,0.004,10455.473,33.808,30852.707,4.107,8.447,1.023,0.984,0,0,11.876,2.186,4.714,1.626,4.586,2.478,2.711,2.759,0.88,122.866,5.518,2.341,16.511,0.4,2.663,9.342,5.938,46.816,13.551,2.078,0,0.922,18.578,1.226,774.682,30.698,6.613,2.83,27.454,14.966,0,1.558,3.397,0,17.859,3.135,0.961,1.897,0.489,2.315,3.267,0.562,12.777,40.775,32.475,47.367,248.57,5.477,2.375,0.05,0.123,0.272,0
206.32,10.435,695.316,19232.932,1430.346,16.329,112.524,166.446,18.671,0,0,59641.87,215.173,3882.964,3007.419,90.506,27.932,34.414,197.492,16.209,4044.266,30.689,166.861,240.27,20.396,362,4190,463.689,339.378,613.585,1525.074,3043.336,16.383,249.194,56.66,141.458,112.021,49.51,250.521,257.492,132.287,54.687,84.486,216.607,157.554,152.914,369.705,57.253,55.938,41.125,319.329,93.094,11.627,210.857,654.714,115.807,168.37,115.366,46.419,94.902,44.617,4.527,23.686,0
7984.266,2.507,20225.175,885.81,59455.833,167.855,581.848,28.374,137.931,0,0,305.059,87.802,818.693,175.933,643.097,252.501,152.92,596.002,46.501,1441.308,144.24,445.662,171.974,7.254,101.005,1526.174,255.18,838.706,519.94,87.37,9.323,92.291,248.179,17.965,9718.039,338.681,73.081,174.785,331.045,267.669,93.579,67.677,116.96,26.058,209.685,130.687,28.53,156.03,27.444,84.33,47.76,47.561,206.161,664.836,349.035,498.929,2191.534,216.9,135.271,46.708,3.157,14.643,0
75.069,3.198,488.758,741.592,267.74,1767.356,73.516,19.797,21.353,0,0,165.877,152.043,69.84,130.087,227.383,39.495,71.208,191.14,47.262,47.134,569.821,176.806,187.9,59.972,411.452,2877,133.712,575.076,321.879,56.623,4.669,44.48,98.42,9.377,180.336,98.316,341.262,37.768,141.469,10.009,4.225,12.066,64.297,135.492,62.092,274.838,123.99,66.781,40.39,123.99,30.677,3.951,229.798,362.598,184.113,359.132,1391.073,1206.669,183.438,472.821,25.401,10.99,0
33.639,0.483,101.15,190.909,143.252,5.657,6138.104,359.863,8.596,0,0,56.739,9.044,53.102,20.776,164.265,14.01,17.746,35.969,125.093,51.554,395.199,52.475,144.114,40.41,193.959,31050.687,133.006,506.088,282.905,20.206,4.213,10.05,35.511,4.263,47.294,30.738,14.73,18.135,23.463,13.22,6.779,8.928,493.274,4892.074,24.751,43.186,6.195,23.59,9.779,18.322,7.16,3.701,41.398,33.75,50.125,33.65,115.743,272.745,33.603,16.891,1.063,70.511,0
188.379,0.604,302.658,59.884,1889.674,11.266,113.824,2576.145,1359.109,0,0,171.376,55.606,78.512,7.233,21.916,9.102,132.337,25.276,2.213,16.91,63.511,13.778,53.524,9.426,213.352,802.494,588.824,3670.436,1279.006,48.473,11.128,18.736,78.229,1270.631,234.728,436.326,89.526,51.913,154.949,33.375,42.133,29.015,173.026,95.298,129.902,247.61,24.293,551.679,38.385,83.033,45.578,9.879,178.065,352.744,122.671,125.595,330.757,97.823,23.446,60.617,3.153,27.539,0
3.843,0.118,59.08,24.649,59.665,16.274,20.023,8.757,513.999,0,0,9.877,4.257,27.672,7.44,21.945,8.466,5.662,16.481,1.734,47.922,4.454,15.474,2.17,0.405,6.296,57.877,124.028,471.999,902.072,44.905,0.864,2.301,51.465,59.239,9.099,1568.466,435.702,3.733,184.622,9.345,1.598,148.97,13.79,1.959,6.091,409.874,6.268,1315.238,70.952,5.564,191.439,1.549,611.576,380.513,198.306,6.283,7.168,244.635,109.966,235.748,0.309,31.082,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3266.106,202.011,3057.78,5486.023,1274.628,177.741,790.992,1135.305,149.134,0,0,15501.177,2637.749,2849.299,1813.734,532.487,99.237,145.369,394.037,499.678,1164.151,240.652,528.154,401.177,132.784,955.953,8679.905,1378.136,2258.917,3217.524,4759.589,15207.467,5416.144,1387.28,150.59,908.803,258.692,432.68,306.276,276.903,194.041,141.131,93.979,2583.509,806.361,167.817,301.674,49.977,544.768,345.824,350.03,110.564,42.016,1540.988,1165.943,864.361,11392.053,1453.672,657.082,232.469,244.819,11.744,373.911,0
482.343,58.251,335.176,789.023,3241.196,65.88,211.497,79.471,68.746,0,0,516.121,1397.288,88.267,77.681,299.659,39.503,560.676,428.041,105.577,145.904,324.847,473.112,139.637,38.072,1823.568,8640.3,831.526,1791.918,1025.609,2407.984,27.764,35.565,172.255,73.624,322.113,167.442,120.751,83.122,173.892,27.547,9.876,31.599,233.424,645.414,200.055,328.993,81.35,96.551,80.329,115.259,72.009,11.882,566.356,266.383,265.557,209.844,358.197,134.537,43.474,77.942,4.303,32.843,0
65.733,4.01,144.772,1488.497,348.261,10.085,578.019,7.067,9.167,0,0,77.307,106.659,4310.313,132.921,261.479,56.895,38.358,122.853,88.058,538.595,44.552,187.431,39.251,29.26,80.278,22594.307,185.919,455.646,188.358,58.994,2.2,14.105,1193.967,3.745,497.267,40.419,24.774,14.557,42.345,17.628,5.813,5.184,236.445,1512.4,20.216,55.901,23.268,19.248,8.791,30.001,8.207,2.566,61.306,1388.84,256.455,86.47,157.943,41.064,30.272,7.889,0.651,2.56,0
13.448,0.333,147.636,2471.037,81.077,171.291,259.16,4.937,75.827,0,0,53.407,113.447,563.907,27657.841,5368.022,238.429,3744.028,2155.832,1900.919,1603.996,717.187,1473.58,5.179,160.484,357.571,1466.483,356.563,588.604,346.16,5.298,0.447,14.615,1048.062,0.655,19.664,36.055,4.114,24.246,12.102,21.108,16.052,8.956,12.673,7.229,7.47,16.295,4,24.072,3.354,11.102,3.227,3.964,17.047,27.507,18.776,12.145,350.498,26.196,22.052,8.128,0.719,1.292,0
209.042,54.929,1099.233,3752.664,1431.869,78.376,596.777,32.22,87.814,0,0,386.019,81.581,471.904,1647.849,7405.22,1972.323,533.178,4124.671,208.935,6417.076,133.771,2643.739,243.307,152.863,494.747,10884.096,654.565,1031.956,965.653,87.987,175.371,58.773,3197.174,24.918,234.014,151.321,180.811,93.651,250.629,35.885,16.868,28.799,204.285,107.597,170.239,426.254,155.025,101.213,74.92,397.581,68.988,22.577,348.089,1293.475,175.691,320.47,383.167,319.715,73.111,186.662,42.144,30.569,0
54.627,35.181,253.343,876.038,158.554,8.343,59.639,23.772,73.726,0,0,138.703,63.842,84.132,23.36,529.553,4005.585,855.245,439.285,42.246,918.499,19.712,775.096,224.819,131.302,303.873,2118.937,529.933,1466.076,1124.254,37.025,4.686,11.839,686.054,465.568,64.456,364.225,1011.88,284.361,904.448,407.778,9.34,720.552,407.726,2.543,278.366,3595.339,333.196,1006.101,1114.526,498.279,134.676,6.528,2226.754,2630.922,964.141,2035.214,354.101,175.107,141.401,181.371,234.302,14.988,0
54.769,28.533,560.265,891.49,310.436,49.279,168.67,17.882,42.251,0,0,164.05,50.233,212.479,956.989,321.286,770.058,3586.053,813.393,304.594,866.053,91.759,1266.585,101.02,25.713,85.751,13740.907,199.121,1387.55,1156.08,983.795,33.341,30.516,1404.182,33.369,243.371,72.318,167.332,90.341,113.498,50.061,37.173,42.793,177.136,62.383,164.386,324.089,56.05,276.716,58.82,182.837,73.36,21.352,378.308,641.046,245.856,223.925,267.214,558.274,152.813,110.201,137.679,429.474,0
78.867,76.472,1987.433,10804.989,691.469,29.349,286.945,57.304,71.48,0,0,243.391,58.001,495.158,183.08,434.869,683.829,141.11,7092.714,293.622,2623.287,51.469,2737.192,181.333,29.585,191.24,6978.267,2293.848,3909.653,645.606,897.875,351.63,15.035,6533.667,35.306,46.606,284.296,54.237,250.523,641.608,62.582,60.513,9.126,368.891,324.618,188.998,290.727,208.205,295.983,225.817,2047.23,60.862,14.792,1486.205,349.343,108.288,181.001,136.921,116.906,276.057,64.768,5.45,12.531,0
2.079,1.003,11.104,231.598,24.618,1.528,6.911,2.386,1.359,0,0,11.716,2.003,8.626,16.857,7.722,3.039,4.243,19.126,240.445,8.529,2.109,9.501,2.895,1.011,8.743,66.848,9948.136,21.52,1064.934,852.491,0.436,3.813,13.571,1.163,5.478,5.136,2.898,12.546,7.117,5.111,5.029,1.935,7.061,1.527,2.385,7.317,2.29,5.681,1.387,5.63,1.091,0.55,7.752,70.745,4.089,8.489,122.271,5.528,1.877,134.235,0.132,0.531,0
13.476,11.564,746.926,3587.002,540.997,22.295,226.15,41.835,57.012,0,0,182.169,44.146,352.308,133.429,319.553,106.475,87.724,306.757,116.844,4768.215,36.875,2523.19,11.251,6.468,90.231,933.504,77.724,97.292,83.99,189.133,726.384,590.033,130.177,10.043,43.798,57.411,24.77,214.286,83.459,28.489,58.958,7.675,88.026,1.431,14.522,32.134,9.191,20.766,5.975,83.148,6.395,12.453,28.265,1460.285,37.429,37.036,177.35,52.421,46.315,92.682,3.131,2.963,0
24.099,4.47,184.555,107.634,116.63,31.925,57.934,4.451,10.649,0,0,33.661,28.049,50.436,22.909,46.641,22.317,191.505,56.353,152.525,217.151,1256.411,42.928,239.329,10.673,17.339,2588.439,309.977,2748.583,1004.625,62.213,13.112,24.412,136.423,14.396,522.066,201.841,109.292,131.988,432.385,398.692,91.897,33.969,708.783,684.171,1039.21,1495.532,41.095,1187.2,159.142,1113.049,120.481,12.438,1278.569,146.747,125.729,616.731,1141.411,414.781,290.565,469.066,22.988,383.425,0
76.919,81.704,1628.087,3145.982,1983.756,69.076,562.865,242.965,142.375,0,0,746.104,154.601,867.601,495.224,588.486,248.887,200.365,2910.142,78.563,1112.997,106.985,933.399,22.359,28.218,325.862,2854.543,97.423,280.039,251.891,2730.071,3663.969,1808.243,627.651,84.293,68.936,220.921,84.228,911.763,337.161,73.394,223.84,20.918,436.429,16.257,54.388,89.217,15.799,23.348,17.79,475.412,24.982,21.746,94.527,577.988,170.144,168.236,250.845,185.438,194.609,62.248,18,22.022,0
758.181,27.404,530.413,1732.742,1732.564,67.456,389.088,1163.219,86.646,0,0,2788.241,151.319,368.951,7254.678,343.254,65.853,131.668,275.372,92.939,351.82,99.077,517.027,2798.083,170.214,557.606,2344.059,515.832,801.464,1809.435,984.187,54.278,27.456,911.523,76.206,1067.782,105.859,101.958,146.365,285.84,95.444,79.134,59.192,2667.339,68.638,163.257,345.928,80.808,48.198,75.71,330.445,60.039,69.139,304.396,4250.08,1549.89,966.917,892.363,315.413,263.87,378.55,9.067,179.212,0
0.605,0.296,1.03,24.928,33.435,2.281,2.651,2.47,1.112,0,0,21.574,1.544,4.453,9.199,5.544,5.123,3.313,7.96,2.21,6.143,3.894,8.537,1.302,321.316,1.024,11.711,5.266,11.565,6.947,2.742,2.264,0.24,25.829,0.251,1.833,5.396,8.899,1.432,20.059,6.823,1.484,1.645,601.55,0,4.214,24.101,2.426,7.83,0.792,2.285,1.971,0.504,3.162,604.215,467.182,90.195,160.257,15.531,2.646,21.98,0.16,0.475,0
9.031,2.487,149.454,270.209,203.147,14.051,32.358,1895.873,11.104,0,0,769.144,16.111,143.903,1432.059,53.119,46.355,61.046,86.423,19.601,82.749,61.082,76.681,117.014,19.009,9877.888,3971.963,412.343,1625.613,878.389,198.426,172.65,89.749,1635.107,21.076,874.511,214.118,159.148,94.863,449.161,92.476,44.649,81.274,3185.701,0.176,301.449,669.168,81.902,117.91,100.686,158.42,109.192,49.677,242.453,633.793,342.352,347.924,308.737,161.595,110.741,196.017,11.092,90.543,0
1778.295,158.687,823.082,481.734,707.621,31.985,131.077,24.466,47.127,0,0,154.722,51.979,176.597,94.342,207.584,59.579,56.196,261.451,35.472,253.499,53.213,201.89,339.691,665.989,1419.457,126724.285,397.995,892.731,1354.804,652.923,27.285,40.29,1969.616,78.911,1964.162,137.488,52.522,4118.112,322.419,412.606,628.422,89.094,9634.961,11552.609,241.177,285.752,94.947,60.082,76.913,254.437,49.632,110.213,176.314,25937.34,1951.951,2115.664,1502.749,734.027,264.338,340.048,8.741,132.975,0
149.415,22.953,7.522,220.936,34.978,2.808,8.984,2.404,5.79,0,0,13.548,3.897,15.685,7.915,17.338,3.88,4.832,14.444,29.013,17.526,4.067,12.826,16.775,12.87,550.648,3326.434,1955.019,479.968,297.335,3360.279,1.604,22.494,298.397,397.74,143.888,200.907,127.416,179.034,548.5,30.797,19.095,14.814,1083.656,0,111.544,240.071,17.695,47.448,65.709,975.99,57.82,26.488,342.399,999.189,190.453,344.416,150.572,54.901,17.231,58.2,13.66,53.323,0
868.522,104.856,1566.799,3736.702,6917.978,506.023,1597.588,521.821,236.995,0,0,2608.795,500.215,1320.382,2937.417,1359.226,880.925,1213.263,1778.32,531.309,942.515,621.04,1923.907,464.214,117.183,1282.449,17391.808,2333.375,4628.727,3144.386,2295.889,354.326,669.318,3120.099,410.464,1965.655,661.483,617.192,597.819,1631.372,489.642,233.046,253.144,1072.472,1440.748,682.362,2399.61,331.669,1018.507,504.862,1756.106,208.667,105.828,1884.425,1633.307,1528.493,2414.645,1673.438,1093.785,333.096,668.186,80.339,294.452,0
699.185,68.246,1247.276,2918.643,5716.447,422.168,1328.295,435.815,183.39,0,0,2176.304,410.042,1063.966,2442.5,1099.928,733.676,1006.85,1456.796,439.264,778.342,513.908,1573.79,372.512,91.24,972.645,13677.061,1995.538,4095.916,2725.409,1638.222,295.32,649.607,2544.428,299.881,1706.657,603.6,492.197,590.184,1319.795,538.483,254.004,254.349,869.18,1195.454,541.196,1822.671,269.043,984.327,413.931,998.156,174.012,93.847,1541.697,1274.712,1158.398,1953.736,1324.624,955.411,257.236,551.33,65.163,229.401,0
242.721,9.828,340.935,1716.695,3019.275,138.158,733.967,568.149,88.458,0,0,2381.654,305.658,1233.384,1102.563,404.175,156.628,253.504,450.714,132.432,170.959,249.385,341.479,71.311,18.99,375.815,4376.181,798.027,5719.845,1715.239,4059.257,77.756,437.591,1985.356,603.036,292.259,1093.083,760.526,151.295,398.926,132.907,9.096,55.682,209.252,165.636,168.722,484.24,74.286,125.072,107.416,262.644,63.223,577.552,308.61,15966.139,2320.817,1069.047,548.447,216.3,55.062,191.799,19.744,102.399,0
49.291,4.742,84.237,3484.774,693.438,32.793,165.457,124.304,32.059,0,0,473.065,72.143,293.319,247.716,123.812,43.48,61.46,127.151,33.286,77.535,62.142,103.87,39.447,5.207,189.769,642.055,223.783,1330.844,495.89,2705.789,8128.729,110.398,502.325,109.255,143.462,254.698,190.077,79.696,185.228,59.817,2.303,25.146,111.127,30.18,96.494,298.883,28.356,32.182,44.371,155.594,31.115,89.919,124.456,1371.616,96.306,131.999,142.291,84.032,35.055,64.161,6.104,43.28,0
