R01,R02,R03,RB,R10_12,R13_15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31_32,R33,RD,R36,R37_39,RF,R45,R46,R47,R49,R50,R51,R52,R53,RI,R58,R59_60,R61,R62_63,R64,R65,R66,R68B,R68A,R69_70,R71,R72,R73,R74_75,R77,R78,R79,R80_82,R84,RP,R86,R87_88,R90_92,R93,R94,R95,R96,RT
16.879,2.069,7.695,2110.07,306.497,19.876,49.797,54.837,18.796,0,0,416.942,30.375,98.889,183.657,99.517,87.868,59.755,437.838,40.829,161.154,67.578,151.964,39.361,2.025,44.285,1655.531,323.484,1090.8,733.843,300.722,115.487,1526.801,212.399,337.554,58.1,137.255,115.842,24.464,375.395,259.215,9.317,56.752,91.922,1.423,217.574,384.272,60.905,36.608,78.343,86.861,99.005,6032.469,126.897,1077.033,296.28,268.08,332.218,284.674,27.471,269.701,8.43,36.878,0
271.426,17.443,492.293,1700.157,2993.666,167.56,714.958,456.256,101.941,0,0,1735.309,281.321,1017.27,1124.91,481.592,233.033,334.99,697.177,163.951,246.974,259.191,507.195,115.759,27.979,425.516,4337.774,1010.643,4890.029,2165.302,2458.274,57736.229,12561.81,2445.377,305.834,735.446,849.725,603.075,199.106,525.4,176.512,19.08,79.603,438.617,296.232,270.052,670.33,102.985,209.384,150.502,389.793,80.01,35.414,457.294,1012.559,477.835,657.499,528.929,334.59,140.242,251.181,26.838,142.234,0
34.258,1.059,39.262,346.462,197.943,17.278,36.389,13.778,9.405,0,0,139.268,13.749,33.499,52.905,46.425,35.946,29.583,108.044,14.997,44.325,32.505,53.162,307.702,37.216,249.199,662.854,168.456,1157.237,684.316,165.548,18.645,59.342,589.022,42.033,177.608,1760.433,213.876,115.024,610.971,711.326,4.453,111.148,742.018,0.84,429.282,1191.771,114.699,141.726,181.806,291.534,268.658,48.599,392.08,819.428,212.772,218.784,283.864,212.46,43.011,127.951,8.726,38.371,0
29.372,2.626,93.93,2052.871,731.248,56.495,134.876,83.376,49.195,0,0,730.017,73.022,169.689,313.274,238.684,196.124,129.556,390.156,81.168,242.199,146.204,303.604,347.735,7.053,114.184,1543.56,246.238,1880.149,1332.014,411.563,190.772,590.674,343.847,71.145,3009.183,381.356,182.021,279.155,838.417,551.879,34.335,188.04,300.605,1.455,529.074,683.247,121.865,129.141,153.056,120.386,190.245,6384.527,297.074,2520.427,635.807,815.774,1146.312,494.705,175.135,339.172,14.402,44.089,0
22.865,1.113,24.687,106.725,80.57,9.832,14.989,8.698,91.485,0,0,66.483,7.675,20.022,24.521,22.514,19.827,18.675,31.24,6.572,22.591,21.452,44.907,62.224,11.436,62.984,442.019,1177.137,2373.656,2105.908,142.168,15.11,344.161,282.532,32.524,367.743,2839.419,300.316,1483.356,13247.996,1091.05,31.484,365.908,773.732,0.344,646.354,2540.045,228.93,710.972,470.683,1190.581,171.515,127.199,1089.598,1294.802,2184.288,233.466,376.712,899.733,124.738,1298.569,10.626,57.627,0
13.475,1.053,33.647,260.069,180.708,13.024,34.544,19.448,8.257,0,0,135.334,15.488,46.96,50.224,37.521,28.088,28.625,73.099,11.735,30.616,33.524,57.868,181.897,23.286,137.562,520.905,133.275,1102.3,800.263,183.912,15.71,345.424,490.441,49.443,196.051,355.322,2854.374,278.67,1926.528,56.581,7.773,78.135,491.382,0.792,280.68,695.215,86.27,1232.394,109.566,188.721,154.623,30.722,1006.834,472.758,424.575,172.487,194.933,96.115,35.01,104.577,6.126,73.55,0
116.754,1.902,81.37,562.762,332.216,28.213,60.916,23.592,15.243,0,0,233.489,23.486,57.849,92.595,76.548,59.972,53.753,173.525,25.269,71.88,57.517,99.75,478.969,56.453,379.376,1058.437,267.621,1772.618,1090.061,1743.925,2729.72,91.929,965.762,64.629,292.528,477.429,221.742,17287.204,1091.488,663.009,7.778,173.001,1165.179,5.685,662.106,1832.994,184.518,222.406,279.639,464.843,406.864,74.323,608.495,1233.761,324.469,340.734,426.288,164.725,66.969,202.094,13.425,60.049,0
23.353,3.552,124.226,1122.193,655,56.759,120.737,47.023,30.534,0,0,472.478,46.216,113.55,177.796,153.064,120.079,104.89,350.877,49.474,150.307,115.328,193.746,2091.789,116.817,782.426,2109.411,550.575,4415.37,3106.257,530.971,59.808,209.894,4899.738,132.251,617.713,1500.605,432.471,3074.801,4395.964,8056.737,1114.756,1162.48,2331.765,3.046,1361.671,6136.417,429.294,1903.325,571.747,940.459,844.067,156.048,1249.353,5148.7,912.344,4699.891,984.088,525.681,138.356,414.883,27.477,123.83,0
311.068,75.205,810.929,4978.927,2292.615,96.728,306.064,179.411,100.527,0,0,1394.957,140.486,382.96,686.854,498.161,318.751,251.407,638.17,137.943,562.911,210.198,539.164,693.875,12.616,244.267,4745.174,778.403,1921.596,1494.205,1018.097,1342,296.993,1323.039,159.081,806.926,489.157,403.794,637.463,1295.834,14580.102,2443.798,1458.913,1705.841,33067,651.262,1474.709,207.473,382.211,166.824,430.418,301.289,175.195,597.686,8846.741,732.902,862.962,1137.45,538.243,232.93,762.104,25.176,171.842,0
419.488,3.157,239.313,309.232,259.069,17.265,57.41,35.703,18.515,0,0,248.886,28.582,65.389,125.75,94.108,69.779,43.447,112.327,26.145,79.215,50.668,118.214,458.623,27.224,96.375,601.017,68.557,166.422,149.331,366.431,4253.919,193.158,325.001,22.012,158.728,65.931,90.682,36.535,233.091,590.968,13.878,34.385,675.901,930,167.002,372.403,35.596,80.001,33.927,144.347,38.909,14.924,103.298,1612.819,372.83,256.892,509.141,193.696,49.712,206.406,6.131,31.386,0
3.005,1.498,5.115,958.516,463.995,19.412,59.257,35.227,19.67,0,0,278.762,27.635,74.988,136.636,96.836,63.334,49.725,126.328,27.989,109.778,42.429,106.686,132.693,2.598,46.385,911.402,150.295,377.174,282.992,151.715,257.457,57.183,284.118,30.532,152.205,95.65,81.93,122.424,257.858,9387.012,1012.394,255.533,327.638,0,125.418,293.513,40.297,76.951,32.119,81.979,58.811,33.467,115.229,3106.363,121.507,89.6,146.679,77.588,12.6,109.635,0.832,2.513,0
12.6,70.696,0.073,2973.503,1884.343,261.495,373.123,71.569,360.291,0,0,369.768,275.976,385.888,102.362,1056.188,433.567,297.308,773.445,185.705,684.828,345.823,1006.822,565.557,51.965,752.958,5975.279,3406.958,9969.502,15616.297,1063.866,503.379,165.255,2112.392,695.862,8208.887,888.367,438.659,991.413,2011.819,2320.07,66.433,603.874,12283.998,0.072,2441.028,2454.731,468.467,338.173,564.711,2201.712,500.818,235.932,1246.991,8136.421,3381.372,2503.667,3293.644,1873.82,1444.518,1104.699,101.354,1122.565,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582.244,6.369,2060.233,3278.227,809.512,68.734,143.649,68.632,41.945,0,0,661.932,59.627,152.002,258.897,205.924,166.625,126.923,429.246,70.005,206.126,142.799,253.436,1169.209,134.744,844.176,2261.457,603.826,3909.279,2315.083,606.625,83.145,200.519,2426.604,140.789,2059.179,915.006,567.516,1443.408,3827.937,1849.825,487.205,381.637,2507.357,0.312,1446.257,4134.416,500.825,1076.909,602.706,1045.213,973.067,164.453,1512.518,4432.849,984.765,1094.98,1301.837,819.463,166.239,1033.239,30.115,131.176,0
3.195,0.681,14.727,5927.355,88.56,7.728,16.527,6.504,4.696,0,0,62.586,6.821,16.336,24.178,22.07,16.492,15.944,44.144,6.785,21.226,17.207,31.865,192.336,12.828,87.641,24989.976,75.166,445.436,318.637,147.451,8.321,28.264,213.63,16.6,103.884,90.247,43.673,54.412,220.409,43.714,10.867,46.299,266.816,1.335,519.815,4366.904,47.505,61.935,70.706,116.194,92.908,18.354,143.999,348.129,85.908,87.662,109.294,49.242,19.838,51.594,3.31,17.402,0
0.252,0.092,0.525,8.535,7.62,0.697,1.674,0.709,0.451,0,0,5.576,0.713,1.702,2.396,2.112,1.481,1.991,2.656,0.57,2.49,2.008,4.297,1.235,0.166,1.531,12.494,6.313,22.778,29.146,3.413,0.627,4.574,5.988,0.73,14.802,4.678,1.957,176.098,5.981,8.785,5.072,3.924,6.907,0.336,4.888,7.094,2.92,7.556,1.307,5.481,1.369,0.879,5.226,130.838,4.983,4.903,5.421,5.73,1.623,2.792,0.123,1.376,0
8.224,0.814,30.084,397.936,153.653,13.505,28.499,10.828,7.349,0,0,109.284,10.69,26.222,40.908,36.286,28.003,23.069,84.143,11.572,35.61,25.508,41.388,600.706,34.837,302.248,1104.067,597.105,2033.933,1749.827,396.541,14.41,341.952,829.868,66.859,1027.524,252.58,170.869,957.639,815.74,1675.539,114.444,457.572,1485.999,0.024,942.148,1133.189,158.835,890.508,292.717,700.991,351.608,572.256,1511.313,605.979,171.137,177.726,249.565,591.838,143.566,569.499,26.23,119.51,0
527.201,1.008,1088.976,299.192,179.035,15.597,33.884,12.733,8.405,0,0,123.261,12.529,30.801,49.676,41.868,32.006,27.363,94.117,13.503,40.603,28.927,48.71,434.904,41.399,231.144,581.239,147.958,992.954,593.101,144.329,16.299,56.724,521.416,36.074,161.037,256.078,96.234,1151.624,943.17,70.146,11.243,97.281,626.836,2.623,362.728,3443.748,97.645,271.515,153.816,250.32,225.991,41.636,334.861,1005.174,388.256,221.785,357.718,107.134,37.22,109.048,7.457,33.169,0
92.987,30.554,217.986,14571.368,892.094,48.365,170.877,55.752,139.808,0,0,477.077,99.795,428.315,201.473,411.29,104.65,173.165,395.283,54.719,350.052,180.229,501.971,286.291,20.098,716.279,4092.394,584.474,860.028,1480.061,3551.597,4880.726,3806.712,978.013,439.594,1064.031,258.067,358.657,651.924,983.233,126.805,40.469,202.881,604.863,3.59,602.886,2128.707,282.7,152.011,189.96,1917.3,132.499,106.181,783.721,519.616,245.179,503.651,514.227,230.475,248.978,141.851,15.006,204.975,0
6.154,0.967,35.015,4030.022,178.612,15.668,32.978,12.533,8.63,0,0,126.921,12.466,30.592,47.365,42.33,32.572,26.852,97.911,13.475,41.208,29.76,48.496,278.765,33.709,463.627,8414.958,153.853,1055.393,2062.684,423.495,16.808,60.589,887.658,53.425,566.635,306.845,117.722,469.369,1095.429,780.881,63.413,441.426,673.614,0.008,586.676,1607.554,206.475,160.767,165.795,536.547,555.505,48.901,798.217,1289.554,493.34,332.868,248.953,96.141,39.373,116.133,26.504,120.186,0
1.911,0.321,0.28,76.867,38.926,2.904,5.943,6.591,2.757,0,0,54.868,3.865,11.063,24.478,14.326,12.87,8.102,27.798,5.867,23.516,8.997,21.218,5.746,0.304,5.467,143.36,30.311,131.102,91.945,30.907,17.443,12.822,26.541,6.19,15.049,17.68,14.563,3.284,54.421,40.193,1.328,8.224,18.625,0.28,32.978,54.067,8.004,5.172,11.72,8.291,14.711,254.736,18.062,129.044,46.486,40.344,50.697,43.029,5.247,36.596,1.309,6.14,0
28.008,4.292,155.274,1920.358,2080.051,105.341,240.081,102.777,82.946,0,0,734.776,121.479,284.864,295.756,338.115,201.87,191.795,550.208,92.024,326.062,184.518,453.281,1233.366,161.242,1024.562,2754.167,678.494,4639.508,2772.597,825.01,175.37,281.417,3915.088,171.167,1729.219,1016.577,657.143,583.442,2612.067,724.08,285.519,473.678,4427.286,1.56,1999.051,4753.616,491.384,593.079,760.839,1225.889,1125.748,195.285,1908.535,4230.295,1947.415,1112.922,1697.621,705.575,411.05,934.613,44.744,226.425,0
34.003,14.334,48.286,1293.294,923.801,68.005,141.227,136.71,59.597,0,0,1178.734,82.427,240.78,510.669,301.694,278.306,172.464,432.996,121.619,338.914,201.709,446.534,76.711,16.082,63.294,5012.349,258.408,783.525,272.238,3416.499,776.413,52.644,1252.01,29.132,75.061,290.244,454.274,140.624,1105.625,331.744,69.553,93.55,391.537,0,282.605,1297.774,119.978,381.782,73.245,112.099,137.809,33.806,192.866,3265.324,1277.915,1185.398,1428.905,877.783,612.51,1119.71,11.353,22.833,0
3.222,1.572,5.486,81.711,91.338,6.752,14.04,13.081,5.908,0,0,113.278,8.056,23.4,48.91,29.345,26.968,16.726,41.813,11.7,32.683,19.603,43.156,6.905,12.687,27.409,374.19,26.546,57.541,24.551,14.193,12.044,7.189,146.484,1.304,4.795,36.157,47.915,15.481,140.145,35.715,7.901,7.788,39.973,0,67.716,181.087,28.817,47.622,9.143,17.702,27.281,2.531,39.727,820.641,682.702,439.207,406.745,95.162,536.456,117.078,2.844,10.148,0
1.879,0.919,3.201,47.679,53.301,3.942,8.194,7.634,3.447,0,0,66.102,4.701,13.653,28.539,17.125,15.738,9.76,24.401,6.826,19.071,11.437,25.184,4.031,0.984,3.156,35.124,15.491,33.577,14.327,8.282,7.029,0.693,80.229,0.761,2.798,16.432,27.378,4.364,61.941,20.843,4.612,4.544,23.326,0,12.088,74.744,6.313,24.287,2.419,6.246,5.999,1.478,9.178,561.029,75.104,156.771,90.885,48.704,48.143,68.322,0.492,1.252,0
11.77,5.091,25.344,68.511,30.233,5.058,50.412,7.16,25.864,0,0,23.383,14.163,12.832,12.068,26.677,127.27,96.353,46.217,7.982,81.034,18.573,38.27,29.302,9.617,42.755,401.156,40.303,164.339,128.732,89.441,3.429,5.819,189.794,8.037,42.053,24.965,23.192,11.836,38.952,6.978,2.017,21.421,30.212,18.874,42.606,82.456,10.6,85.262,13.997,51.804,20.684,7.329,79.218,52.726,39.564,82.638,48.294,114.869,27.678,41.145,4.04,60.766,0
1.69,0.296,6.859,59.38,39.14,3.278,7.106,3.174,1.916,0,0,29.795,2.869,7.219,12.487,9.556,7.642,6.343,19.782,3.278,9.181,6.747,12.37,46.679,5.67,37.906,111.453,29.126,180.389,110.809,26.712,3.773,9.56,98.292,6.567,30.872,37.657,102.347,19.022,98.875,16.25,1.24,17.894,114.493,0.824,66.649,185.923,18.547,24.318,27.632,45.466,40.739,8.27,62.798,138.425,40.227,40.997,51.851,227.39,15.726,27.783,1.421,6.275,0
5.781,1.705,9.399,106.888,98.723,8.039,17.981,11.059,7.168,0,0,88.109,9.056,23.495,43.194,31.487,23.841,17.94,40.062,10.692,30.602,18.25,43.024,13.826,1.942,14.979,127.006,49.886,134.244,141.788,38.488,11.976,9.668,118.44,7.308,85.182,31.376,36.938,23.935,93.527,51.184,11.348,14.535,67.275,4.525,36.467,115.305,13.462,40.042,9.575,37.893,12.288,8.287,32.461,315.516,123.944,86.879,131.716,72.826,741.023,85.872,1.5,9.988,0
6.908,3.372,11.758,229.149,313.788,36.472,71.096,32.04,21.663,0,0,276.823,27.268,80.16,125.842,92.905,76.807,48.852,121.63,30.08,131.06,55.019,122.508,86.801,4.618,33.594,540.018,127.903,298.344,227.627,135.425,25.819,14.549,420.71,12.796,97.279,140.356,140.567,51.035,330.529,96.556,16.939,59.693,180.683,0,246.404,393.564,55.189,100.219,32.881,63.942,46.037,21.427,106.714,687.026,275.88,203.517,386.853,199.464,48.465,250.964,3.809,36.605,0
30.391,35.036,71.348,42.688,2.281,0.17,0.516,0.174,0.082,0,0,0.925,0.17,0.432,0.942,0.461,0.308,0.421,0.605,0.175,0.326,0.246,0.707,0.157,3.551,16.748,244.084,26.331,83.596,78.611,0.72,0.129,0.241,10.697,11.973,0.983,0.274,0.235,0.25,0.617,8.245,0.092,0.141,79.749,0.448,15.252,23.501,4.272,2.254,4.119,49.447,8.051,0.045,24.971,628.492,173.392,58.473,330.627,44.075,1.726,22.379,1.39,2.136,0
2.945,0.337,6.534,36.88,34.4,2.729,7.318,2.552,1.546,0,0,17.191,2.627,6.56,12.407,7.726,5.232,6.221,11.918,2.659,6.166,4.658,11.239,15.692,2.05,26.773,85.417,19.013,78.545,61.578,18.432,2.452,5.98,39.519,3.779,337.742,14.643,8.153,9.741,35.632,14.63,18.06,7.471,40.9,4.565,24.506,64.145,8.02,11.733,10.276,22.019,13.21,2.921,25.681,169.244,380.375,1219.387,406.295,12.017,4.409,9.669,0.73,328.815,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38662,8540,97420,613176,224565,8492,29312,14590,8608,0,0,128391,12456,34660,71339,42088,22369,23463,46984,10928,45662,14641,41864,81700,8615,44877,570854,79011,195253,157217,108814,149367,40493,83995,17583,92234,43412,24464,71664,105505,167073,37579,24329,182955,173008,68379,110607,21194,24146,18162,42474,33201,19998,63227,336641,193825,200944,220047,36666,22141,33268,2374,19644,223
